epoch,loss,sce,mse,lambda_ce,lr,grad_norm
0,7.7824316,7.7824316,0,1,0.00003125,7.4754906
1,7.7507997,7.7507997,0,1,0.0000625,7.3678036
2,7.711568,7.711568,0,1,0.00009375,7.2930336
3,7.659598,7.659598,0,1,0.000125,7.321956
4,7.600336,7.600336,0,1,0.00015625001,7.4914184
5,7.525668,7.525668,0,1,0.0001875,7.9380345
6,7.423882,7.423882,0,1,0.00021875,9.057464
7,7.272809,7.272809,0,1,0.00025,13.205445
8,7.016471,7.016471,0,1,0.00028125002,33.561054
9,6.847331,6.847331,0,1,0.00031250002,44.87627
10,7.180657,7.180657,0,1,0.00034375003,20.398403
11,6.929781,6.929781,0,1,0.000375,23.944855
12,6.471978,6.471978,0,1,0.00040625,33.41781
13,6.195448,6.195448,0,1,0.0004375,48.078663
14,6.0527453,6.0527453,0,1,0.00046875002,59.51594
15,5.8502903,5.8502903,0,1,0.0005,65.27173
16,5.5252643,5.5252643,0,1,0.0005,67.60931
17,5.219599,5.219599,0,1,0.0004998427,70.95398
18,4.972222,4.972222,0,1,0.00049937086,65.993904
19,4.7963166,4.7963166,0,1,0.0004985853,64.03331
20,4.5319843,4.5319843,0,1,0.00049748697,63.557255
21,4.217491,4.217491,0,1,0.00049607747,69.476746
22,3.805843,3.805843,0,1,0.0004943588,73.36893
23,3.426004,3.426004,0,1,0.0004923333,73.46287
24,3.0651987,3.0651987,0,1,0.0004900039,68.41525
25,2.7674289,2.7674289,0,1,0.0004873738,68.51985
26,2.4864907,2.4864907,0,1,0.00048444662,68.9989
27,2.2842398,2.2842398,0,1,0.00048122654,74.72418
28,2.098203,2.098203,0,1,0.00047771801,66.05352
29,1.9753231,1.9753231,0,1,0.000473926,56.426037
30,1.8643205,1.8643205,0,1,0.00046985576,49.65921
31,1.7868274,1.7868274,0,1,0.00046551297,48.211536
32,1.7312428,1.7312428,0,1,0.00046090374,32.185818
33,1.718138,1.718138,0,1,0.00045603453,37.62374
34,1.653629,1.653629,0,1,0.0004509121,33.759357
35,1.6585056,1.6585056,0,1,0.00044554367,35.30945
36,1.6141176,1.6141176,0,1,0.00043993667,39.161133
37,1.5736753,1.5736753,0,1,0.00043409906,44.007298
38,1.5594369,1.5594369,0,1,0.00042803888,51.454685
39,1.5073802,1.5073802,0,1,0.0004217647,57.835575
40,1.4904163,1.4904163,0,1,0.00041528523,59.297894
41,1.4534333,1.4534333,0,1,0.00040860954,63.26252
42,1.4196558,1.4196558,0,1,0.00040174703,64.54119
43,1.386535,1.386535,0,1,0.00039470723,64.10027
44,1.3721751,1.3721751,0,1,0.0003875,60.578377
45,1.3240849,1.3240849,0,1,0.00038013546,55.806797
46,1.2942123,1.2942123,0,1,0.00037262388,63.95541
47,1.3648345,1.3648345,0,1,0.0003649757,64.55776
48,1.2163557,1.2163557,0,1,0.00035720173,71.39844
49,1.1742339,1.1742339,0,1,0.00034931282,65.989845
50,1.1301044,1.1301044,0,1,0.00034131992,62.684288
51,1.0929825,1.0929825,0,1,0.0003332343,58.217354
52,1.0517085,1.0517085,0,1,0.00032506723,60.805775
53,1.022696,1.022696,0,1,0.00031683012,66.63931
54,0.96367747,0.96367747,0,1,0.0003085345,65.91138
55,0.9494551,0.9494551,0,1,0.000300192,60.25412
56,0.87970835,0.87970835,0,1,0.00029181427,56.44091
57,0.8682913,0.8682913,0,1,0.00028341304,64.70259
58,0.7935297,0.7935297,0,1,0.000275,57.16907
59,0.75294584,0.75294584,0,1,0.000266587,56.37711
60,0.74779546,0.74779546,0,1,0.00025818573,54.60139
61,0.7199059,0.7199059,0,1,0.00024980798,55.576206
62,0.679094,0.679094,0,1,0.0002414655,58.15831
63,0.6216902,0.6216902,0,1,0.00023316989,54.17397
64,0.61605966,0.61605966,0,1,0.0002249328,53.972466
65,0.60978675,0.60978675,0,1,0.0002167657,49.358334
66,0.5346249,0.5346249,0,1,0.00020868008,44.73803
67,0.4942732,0.4942732,0,1,0.00020068718,46.297066
68,0.4689294,0.4689294,0,1,0.00019279827,50.535404
69,0.5085288,0.5085288,0,1,0.0001850243,45.200233
70,0.42846534,0.42846534,0,1,0.00017737615,42.281097
71,0.46165124,0.46165124,0,1,0.00016986458,41.133118
72,0.43397704,0.43397704,0,1,0.00016249999,62.082706
73,0.4193504,0.4193504,0,1,0.00015529277,37.857285
74,0.39209554,0.39209554,0,1,0.00014825299,47.12539
75,0.34189346,0.34189346,0,1,0.00014139045,44.653923
76,0.3332408,0.3332408,0,1,0.00013471479,55.07239
