epoch,loss,sce,mse,lambda_ce,lr,grad_norm
0,10.13972,10.13972,0,1,0.00003125,243.45213
1,9.913287,9.913287,0,1,0.0000625,167.0809
2,9.579053,9.579053,0,1,0.00009375,180.1938
3,9.238742,9.238742,0,1,0.000125,176.59973
4,9.047256,9.047256,0,1,0.00015625001,172.5621
5,8.821701,8.821701,0,1,0.0001875,170.96138
6,8.190041,8.190041,0,1,0.00021875,183.52504
7,7.8023596,7.8023596,0,1,0.00025,193.34134
8,7.293939,7.293939,0,1,0.00028125002,168.45605
9,7.0517836,7.0517836,0,1,0.00031250002,162.4468
10,6.580043,6.580043,0,1,0.00034375003,191.5046
11,6.285852,6.285852,0,1,0.000375,196.89777
12,6.184011,6.184011,0,1,0.00040625,225.48318
13,6.0740223,6.0740223,0,1,0.0004375,217.63612
14,6.136993,6.136993,0,1,0.00046875002,232.29831
15,5.8272896,5.8272896,0,1,0.0005,173.98145
16,5.6344643,5.6344643,0,1,0.0005,174.14073
17,5.531187,5.531187,0,1,0.0004998427,214.93684
18,5.274492,5.274492,0,1,0.00049937086,187.1792
19,5.146925,5.146925,0,1,0.0004985853,205.13939
20,5.0637794,5.0637794,0,1,0.00049748697,203.3763
21,4.8683357,4.8683357,0,1,0.00049607747,194.64499
22,4.7739663,4.7739663,0,1,0.0004943588,200.98128
23,4.6396656,4.6396656,0,1,0.0004923333,211.44252
24,4.4852753,4.4852753,0,1,0.0004900039,191.61269
25,4.359116,4.359116,0,1,0.0004873738,200.46986
26,4.2663693,4.2663693,0,1,0.00048444662,197.82703
27,4.206465,4.206465,0,1,0.00048122654,221.7149
28,4.106736,4.106736,0,1,0.00047771801,213.0073
29,4.0062246,4.0062246,0,1,0.000473926,204.10637
30,3.9842956,3.9842956,0,1,0.00046985576,238.14204
31,3.8768926,3.8768926,0,1,0.00046551297,211.75664
32,3.8658264,3.8658264,0,1,0.00046090374,190.9061
33,3.7945683,3.7945683,0,1,0.00045603453,202.29858
34,3.7707212,3.7707212,0,1,0.0004509121,204.16226
35,3.6487763,3.6487763,0,1,0.00044554367,216.93428
36,3.5933046,3.5933046,0,1,0.00043993667,197.62932
37,3.5402,3.5402,0,1,0.00043409906,193.94424
38,3.4796348,3.4796348,0,1,0.00042803888,194.22253
39,3.4214113,3.4214113,0,1,0.0004217647,219.14151
40,3.376817,3.376817,0,1,0.00041528523,206.37679
41,3.309563,3.309563,0,1,0.00040860954,191.36371
42,3.299699,3.299699,0,1,0.00040174703,203.91237
43,3.2304716,3.2304716,0,1,0.00039470723,210.01132
44,3.2249546,3.2249546,0,1,0.0003875,213.83481
45,3.1789203,3.1789203,0,1,0.00038013546,216.42804
46,3.175715,3.175715,0,1,0.00037262388,217.51128
47,3.161976,3.161976,0,1,0.0003649757,224.1554
48,3.103529,3.103529,0,1,0.00035720173,223.99312
49,3.0758767,3.0758767,0,1,0.00034931282,252.19325
50,3.0148134,3.0148134,0,1,0.00034131992,235.71043
51,3.0671995,3.0671995,0,1,0.0003332343,221.06969
52,3.0126479,3.0126479,0,1,0.00032506723,208.93546
53,2.9634652,2.9634652,0,1,0.00031683012,249.85127
54,2.9577858,2.9577858,0,1,0.0003085345,240.26196
55,2.9899392,2.9899392,0,1,0.000300192,276.70865
56,2.9694672,2.9694672,0,1,0.00029181427,259.19794
57,2.93048,2.93048,0,1,0.00028341304,256.7607
58,2.8720012,2.8720012,0,1,0.000275,260.69205
59,2.8540742,2.8540742,0,1,0.000266587,312.7747
60,2.8039527,2.8039527,0,1,0.00025818573,235.54388
61,2.781371,2.781371,0,1,0.00024980798,239.71957
62,2.8619037,2.8619037,0,1,0.0002414655,280.80692
63,2.8090255,2.8090255,0,1,0.00023316989,239.36902
64,2.814891,2.814891,0,1,0.0002249328,233.21712
65,2.795556,2.795556,0,1,0.0002167657,293.638
66,2.7601933,2.7601933,0,1,0.00020868008,270.8834
67,2.8013463,2.8013463,0,1,0.00020068718,242.0027
68,2.727572,2.727572,0,1,0.00019279827,268.0884
69,2.7077317,2.7077317,0,1,0.0001850243,267.8295
70,2.7583427,2.7583427,0,1,0.00017737615,313.7285
71,2.664632,2.664632,0,1,0.00016986458,260.04684
72,2.7410781,2.7410781,0,1,0.00016249999,299.2039
73,2.6934495,2.6934495,0,1,0.00015529277,287.27502
74,2.6933804,2.6933804,0,1,0.00014825299,276.67688
75,2.730161,2.730161,0,1,0.00014139045,271.6606
76,2.6878223,2.6878223,0,1,0.00013471479,291.0246
77,2.7202878,2.7202878,0,1,0.00006411766,319.691
78,2.7217257,2.7217257,0,1,0.000060980557,299.34338
79,2.7178142,2.7178142,0,1,0.00005795047,264.22205
80,2.776003,2.776003,0,1,0.000055031658,283.80243
81,2.737792,2.737792,0,1,0.000052228184,293.91306
82,2.6926606,2.6926606,0,1,0.00002477198,281.98364
83,2.7040823,2.7040823,0,1,0.000023491379,293.15076
84,2.722475,2.722475,0,1,0.00002227406,295.0183
85,2.6831417,2.6831417,0,1,0.000021121761,334.21362
86,2.7135084,2.7135084,0,1,0.000020036066,265.83868
87,2.7578704,2.7578704,0,1,0.000009509255,295.62244
88,2.75047,2.75047,0,1,0.000009035251,262.83182
89,2.749214,2.749214,0,1,0.000008596687,281.07767
90,2.7522297,2.7522297,0,1,0.000008194174,265.63925
91,2.8083174,2.8083174,0,1,0.000007828279,321.166
92,2.7074807,2.7074807,0,1,0.0000059996114,307.6835
93,2.7556844,2.7556844,0,1,0.0000057666693,345.06128
94,2.6821458,2.6821458,0,1,0.0000055641226,247.5101
95,2.6147819,2.6147819,0,1,0.0000053922545,290.04544
96,2.7053835,2.7053835,0,1,0.000005251306,452.0316
97,2.726551,2.726551,0,1,0.0000051414763,296.53708
98,2.7763333,2.7763333,0,1,0.0000050629155,254.04272
99,2.7304661,2.7304661,0,1,0.000005015734,309.18414
