epoch,loss,sce,mse,lambda_ce,lr,grad_norm
0,8.168423,8.168423,0,1,0.00025,104.091866
1,8.551435,8.551435,0,1,0.0005,59.312584
2,7.841215,7.841215,0,1,0.0005,73.87586
3,7.2490683,7.2490683,0,1,0.0004828729,111.231735
4,7.398762,7.398762,0,1,0.00043409906,77.35445
5,6.739017,6.739017,0,1,0.00036110377,114.50951
6,6.4568515,6.4568515,0,1,0.000275,151.58765
7,6.407066,6.407066,0,1,0.00018889621,143.15457
8,6.43556,6.43556,0,1,0.000115900984,140.93044
9,6.4797006,6.4797006,0,1,0.00006712709,141.77509
