epoch,loss,sce,mse,lambda_ce,lr,grad_norm,val_loss,val_sce,val_mse
0,11.45981,11.45981,0,1,0.00003125,223.1131,11.466779,11.466779,0
1,10.58307,10.58307,0,1,0.0000625,303.07013,10.276363,10.276363,0
2,9.45891,9.45891,0,1,0.00009375,341.1763,9.200093,9.200093,0
3,8.675722,8.675722,0,1,0.000125,312.39987,8.464759,8.464759,0
4,8.035021,8.035021,0,1,0.00015625001,321.48502,8.0372925,8.0372925,0
5,7.5625296,7.5625296,0,1,0.0001875,356.00656,7.406239,7.406239,0
6,7.0044947,7.0044947,0,1,0.00021875,375.87723,7.053257,7.053257,0
7,6.632907,6.632907,0,1,0.00025,357.93884,6.8210564,6.8210564,0
8,6.4900203,6.4900203,0,1,0.00028125002,359.54578,6.8950653,6.8950653,0
9,6.359882,6.359882,0,1,0.00031250002,351.15262,6.677862,6.677862,0
10,6.1578627,6.1578627,0,1,0.00034375003,362.69705,6.779631,6.779631,0
11,6.002566,6.002566,0,1,0.000375,357.79657,6.6208687,6.6208687,0
12,5.7923536,5.7923536,0,1,0.00040625,377.8424,6.5844207,6.5844207,0
13,5.591592,5.591592,0,1,0.0004375,415.908,6.3719306,6.3719306,0
14,5.388548,5.388548,0,1,0.00046875002,380.13303,6.3270874,6.3270874,0
15,5.18357,5.18357,0,1,0.0005,356.435,6.102655,6.102655,0
16,4.9849052,4.9849052,0,1,0.0005,390.58588,6.0574536,6.0574536,0
17,4.78212,4.78212,0,1,0.0004998427,418.41696,6.0416827,6.0416827,0
18,4.587066,4.587066,0,1,0.00049937086,420.4002,5.367602,5.367602,0
19,4.423223,4.423223,0,1,0.0004985853,472.44138,5.958046,5.958046,0
20,4.197094,4.197094,0,1,0.00049748697,419.04773,5.7725463,5.7725463,0
21,4.0574546,4.0574546,0,1,0.00049607747,413.758,5.298467,5.298467,0
22,3.9308596,3.9308596,0,1,0.0004943588,438.95993,4.940437,4.940437,0
23,3.8172178,3.8172178,0,1,0.0004923333,468.2936,5.1846232,5.1846232,0
24,3.6607137,3.6607137,0,1,0.0004900039,477.1344,4.4823833,4.4823833,0
25,3.5487835,3.5487835,0,1,0.0004873738,454.90445,4.541427,4.541427,0
26,3.4369907,3.4369907,0,1,0.00048444662,471.8885,5.1253777,5.1253777,0
27,3.29012,3.29012,0,1,0.00048122654,487.5857,4.8958573,4.8958573,0
28,3.2229,3.2229,0,1,0.00047771801,457.06085,4.2146153,4.2146153,0
29,3.1553943,3.1553943,0,1,0.000473926,556.45105,4.633822,4.633822,0
30,3.075488,3.075488,0,1,0.00046985576,553.9768,4.3765507,4.3765507,0
