epoch,loss,sce,mse,lambda_ce,lr,grad_norm
0,7.7909226,7.7909226,0,1,0.00003125,7.530693
1,7.7545605,7.7545605,0,1,0.0000625,7.419462
2,7.7140174,7.7140174,0,1,0.00009375,7.334401
3,7.663484,7.663484,0,1,0.000125,7.3525066
4,7.60777,7.60777,0,1,0.00015625001,7.517601
5,7.5155277,7.5155277,0,1,0.0001875,8.090411
6,7.41046,7.41046,0,1,0.00021875,9.668083
7,7.2254133,7.2254133,0,1,0.00025,18.140198
8,6.9402623,6.9402623,0,1,0.00028125002,49.24964
9,7.056096,7.056096,0,1,0.00031250002,34.665207
10,7.240568,7.240568,0,1,0.00034375003,20.60309
11,6.793678,6.793678,0,1,0.000375,26.793182
12,6.4134502,6.4134502,0,1,0.00040625,40.479507
13,6.1913075,6.1913075,0,1,0.0004375,50.221195
14,6.0134044,6.0134044,0,1,0.00046875002,70.35756
15,5.8733788,5.8733788,0,1,0.0005,69.389145
16,5.594644,5.594644,0,1,0.0005,64.914024
17,5.238578,5.238578,0,1,0.0004998427,66.19897
18,4.984535,4.984535,0,1,0.00049937086,66.07506
19,4.693613,4.693613,0,1,0.0004985853,75.56197
20,4.3927217,4.3927217,0,1,0.00049748697,79.92475
21,4.0632863,4.0632863,0,1,0.00049607747,77.771225
22,3.6628122,3.6628122,0,1,0.0004943588,82.246445
23,3.2703443,3.2703443,0,1,0.0004923333,81.32561
24,2.8892572,2.8892572,0,1,0.0004900039,81.29268
25,2.5609024,2.5609024,0,1,0.0004873738,83.21835
26,2.2672355,2.2672355,0,1,0.00048444662,81.90486
27,2.0485885,2.0485885,0,1,0.00048122654,80.13113
28,1.8850285,1.8850285,0,1,0.00047771801,70.148865
29,1.7764978,1.7764978,0,1,0.000473926,67.22867
30,1.6883391,1.6883391,0,1,0.00046985576,70.53868
31,1.6820848,1.6820848,0,1,0.00046551297,71.93931
32,1.5795908,1.5795908,0,1,0.00046090374,75.58253
33,1.5337884,1.5337884,0,1,0.00045603453,66.1711
34,1.4809662,1.4809662,0,1,0.0004509121,70.27983
35,1.4781258,1.4781258,0,1,0.00044554367,75.507515
36,1.4342963,1.4342963,0,1,0.00043993667,76.972435
37,1.4276428,1.4276428,0,1,0.00043409906,80.62068
38,1.4078434,1.4078434,0,1,0.00042803888,80.41301
39,1.3954228,1.3954228,0,1,0.0004217647,84.671455
40,1.3737253,1.3737253,0,1,0.00041528523,82.69188
41,1.3694054,1.3694054,0,1,0.00040860954,86.31934
42,1.3063751,1.3063751,0,1,0.00040174703,91.15185
43,1.299007,1.299007,0,1,0.00039470723,92.74664
44,1.2447435,1.2447435,0,1,0.0003875,97.70832
45,1.1989889,1.1989889,0,1,0.00038013546,109.82301
46,1.1747408,1.1747408,0,1,0.00037262388,116.96146
47,1.0978436,1.0978436,0,1,0.0003649757,116.318054
48,1.0354127,1.0354127,0,1,0.00035720173,118.65784
49,0.9716007,0.9716007,0,1,0.00034931282,120.30804
50,0.94085765,0.94085765,0,1,0.00034131992,116.171936
51,0.9157274,0.9157274,0,1,0.0003332343,109.20915
52,0.8667306,0.8667306,0,1,0.00032506723,104.58108
53,0.78871816,0.78871816,0,1,0.00031683012,103.4971
54,0.79099196,0.79099196,0,1,0.0003085345,108.38768
