epoch,loss,sce,mse,lambda_ce,lr,grad_norm,val_loss,val_sce,val_mse
0,7.7589736,7.7589736,0,1,0.00003125,8.3108425,7.720304,7.720304,0
1,7.736605,7.736605,0,1,0.0000625,8.157021,7.7301393,7.7301393,0
2,7.708581,7.708581,0,1,0.00009375,8.108147,7.692526,7.692526,0
3,7.6725535,7.6725535,0,1,0.000125,8.286742,7.645229,7.645229,0
4,7.6233325,7.6233325,0,1,0.00015625001,8.924835,7.5956216,7.5956216,0
5,7.546492,7.546492,0,1,0.0001875,10.617902,7.511827,7.511827,0
6,7.4074054,7.4074054,0,1,0.00021875,17.243874,7.380806,7.380806,0
7,7.0923324,7.0923324,0,1,0.00025,91.15057,6.916308,6.916308,0
8,7.0859113,7.0859113,0,1,0.00028125002,109.80037,7.147408,7.147408,0
9,7.6267614,7.6267614,0,1,0.00031250002,31.166473,6.9023204,6.9023204,0
10,7.0111527,7.0111527,0,1,0.00034375003,46.839397,6.3908215,6.3908215,0
11,6.5131793,6.5131793,0,1,0.000375,101.705536,6.292108,6.292108,0
12,6.434023,6.434023,0,1,0.00040625,116.99245,6.253479,6.253479,0
13,6.2417974,6.2417974,0,1,0.0004375,154.54619,6.2552,6.2552,0
14,5.9515224,5.9515224,0,1,0.00046875002,180.33607,5.9331284,5.9331284,0
15,5.735009,5.735009,0,1,0.0005,179.35489,6.030585,6.030585,0
16,5.531638,5.531638,0,1,0.0005,139.82591,5.8649178,5.8649178,0
17,5.2702284,5.2702284,0,1,0.0004998427,130.77808,5.1858373,5.1858373,0
18,5.120793,5.120793,0,1,0.00049937086,112.099205,5.6618156,5.6618156,0
19,4.9308796,4.9308796,0,1,0.0004985853,122.4803,5.4761033,5.4761033,0
20,4.700757,4.700757,0,1,0.00049748697,153.55476,4.49804,4.49804,0
21,4.4795666,4.4795666,0,1,0.00049607747,152.94577,4.1857867,4.1857867,0
22,4.293829,4.293829,0,1,0.0004943588,170.3482,4.18468,4.18468,0
23,4.112294,4.112294,0,1,0.0004923333,228.12334,4.3003535,4.3003535,0
24,3.8945553,3.8945553,0,1,0.0004900039,224.9268,4.3055825,4.3055825,0
25,3.6383786,3.6383786,0,1,0.0004873738,206.82877,3.8455544,3.8455544,0
26,3.3545732,3.3545732,0,1,0.00048444662,210.91917,3.1922932,3.1922932,0
27,3.0666595,3.0666595,0,1,0.00048122654,213.48929,2.605604,2.605604,0
28,2.785131,2.785131,0,1,0.00047771801,221.86159,2.7871492,2.7871492,0
29,2.4979718,2.4979718,0,1,0.000473926,224.54771,4.463779,4.463779,0
30,2.2386167,2.2386167,0,1,0.00046985576,209.48724,2.3001876,2.3001876,0
31,2.018356,2.018356,0,1,0.00046551297,203.50848,5.5093727,5.5093727,0
32,1.8402568,1.8402568,0,1,0.00046090374,229.25787,3.4118214,3.4118214,0
33,1.7006305,1.7006305,0,1,0.00045603453,264.15445,4.38005,4.38005,0
34,1.58947,1.58947,0,1,0.0004509121,274.4746,6.3775754,6.3775754,0
35,1.5240535,1.5240535,0,1,0.00044554367,236.84637,4.1371064,4.1371064,0
36,1.4712701,1.4712701,0,1,0.00043993667,251.22574,4.1899266,4.1899266,0
