epoch,loss,sce,mse,lambda_ce,lr,grad_norm,val_loss,val_sce,val_mse
0,7.814835,7.814835,0,1,0.00003125,7.0745945,7.6776805,7.6776805,0
1,7.78648,7.78648,0,1,0.0000625,6.920614,7.734506,7.734506,0
2,7.747609,7.747609,0,1,0.00009375,6.8090873,7.683395,7.683395,0
3,7.691125,7.691125,0,1,0.000125,6.779668,7.6956964,7.6956964,0
4,7.6366377,7.6366377,0,1,0.00015625001,6.875279,7.639417,7.639417,0
5,7.5654736,7.5654736,0,1,0.0001875,7.2131357,7.6922727,7.6922727,0
6,7.463963,7.463963,0,1,0.00021875,8.164367,7.547663,7.547663,0
7,7.298693,7.298693,0,1,0.00025,12.102858,7.6538234,7.6538234,0
8,7.0202804,7.0202804,0,1,0.00028125002,32.809006,7.36638,7.36638,0
9,6.8900547,6.8900547,0,1,0.00031250002,35.22999,7.2432084,7.2432084,0
10,7.230531,7.230531,0,1,0.00034375003,17.170126,7.260639,7.260639,0
11,7.006867,7.006867,0,1,0.000375,18.561563,6.954596,6.954596,0
12,6.5650268,6.5650268,0,1,0.00040625,25.074755,6.667292,6.667292,0
13,6.3003736,6.3003736,0,1,0.0004375,42.265472,7.485798,7.485798,0
14,6.1958175,6.1958175,0,1,0.00046875002,59.608917,6.826363,6.826363,0
15,5.9924426,5.9924426,0,1,0.0005,59.426136,6.7704024,6.7704024,0
16,5.613977,5.613977,0,1,0.0005,54.777996,6.433008,6.433008,0
17,5.3163185,5.3163185,0,1,0.0004998427,50.082348,6.1539397,6.1539397,0
18,5.077491,5.077491,0,1,0.00049937086,52.863544,6.337031,6.337031,0
19,4.8091445,4.8091445,0,1,0.0004985853,56.75037,6.1989074,6.1989074,0
20,4.5520735,4.5520735,0,1,0.00049748697,66.38877,6.157953,6.157953,0
21,4.260753,4.260753,0,1,0.00049607747,74.689125,6.087852,6.087852,0
22,3.9473777,3.9473777,0,1,0.0004943588,84.27948,6.742161,6.742161,0
23,3.5841973,3.5841973,0,1,0.0004923333,86.77922,4.8466744,4.8466744,0
24,3.1886694,3.1886694,0,1,0.0004900039,88.97049,6.508118,6.508118,0
25,2.821631,2.821631,0,1,0.0004873738,92.93771,6.537928,6.537928,0
26,2.5094411,2.5094411,0,1,0.00048444662,91.08554,5.6693263,5.6693263,0
27,2.2299984,2.2299984,0,1,0.00048122654,86.57257,4.519196,4.519196,0
28,2.036871,2.036871,0,1,0.00047771801,81.00971,4.193696,4.193696,0
29,1.9206858,1.9206858,0,1,0.000473926,73.350296,5.4393935,5.4393935,0
30,1.8360913,1.8360913,0,1,0.00046985576,76.12093,3.8784735,3.8784735,0
31,1.7844298,1.7844298,0,1,0.00046551297,72.674576,4.796821,4.796821,0
32,1.7114632,1.7114632,0,1,0.00046090374,76.58556,6.1471767,6.1471767,0
33,1.6703776,1.6703776,0,1,0.00045603453,82.62554,5.7540245,5.7540245,0
34,1.6262158,1.6262158,0,1,0.0004509121,90.47719,5.3081665,5.3081665,0
35,1.5842369,1.5842369,0,1,0.00044554367,87.60595,4.284572,4.284572,0
36,1.5590165,1.5590165,0,1,0.00043993667,89.47141,5.140047,5.140047,0
37,1.5258011,1.5258011,0,1,0.00043409906,85.14994,5.4493957,5.4493957,0
