epoch,loss,sce,lr,grad_norm
0,15.43713,15.43713,0.0000625,15.274625
1,14.440102,14.440102,0.000125,23.044884
2,13.04578,13.04578,0.0001875,58.84637
3,13.375711,13.375711,0.00025,50.46877
4,12.361837,12.361837,0.00031250002,64.09433
5,11.840594,11.840594,0.000375,71.54346
6,11.026887,11.026887,0.0004375,83.04852
7,10.058211,10.058211,0.0005,88.751915
8,9.079907,9.079907,0.00056250003,85.1981
9,7.913929,7.913929,0.00062500004,86.00599
10,6.556248,6.556248,0.00068750005,89.02214
11,5.444187,5.444187,0.00075,97.13438
12,4.4245367,4.4245367,0.0008125,91.10979
13,3.99878,3.99878,0.000875,129.75198
14,3.4173932,3.4173932,0.00093750004,129.10385
15,3.2438743,3.2438743,0.001,206.80322
16,2.9226775,2.9226775,0.001,83.047585
17,2.7680545,2.7680545,0.0009996854,140.69954
18,2.2797058,2.2797058,0.0009987417,148.59547
19,1.9951445,1.9951445,0.0009971706,156.81438
20,1.621732,1.621732,0.0009949739,163.4135
21,1.3588818,1.3588818,0.0009921549,156.05936
22,1.1548533,1.1548533,0.0009887177,153.35312
23,0.9594724,0.9594724,0.0009846666,351.3738
24,1.030401,1.030401,0.0009800078,251.4483
25,0.81673056,0.81673056,0.0009747476,136.43738
26,0.9743495,0.9743495,0.00096889323,506.99744
27,0.9017374,0.9017374,0.0009624531,814.7284
28,1.2164646,1.2164646,0.00095543603,2315.2778
29,0.83998644,0.83998644,0.000947852,1226.3147
30,1.0595641,1.0595641,0.0009397115,1749.6235
31,0.9673527,0.9673527,0.00046551297,3637.2927
32,0.8017726,0.8017726,0.00046090374,6263.9106
33,1.0008694,1.0008694,0.00045603453,3690.708
34,0.60821605,0.60821605,0.0004509121,1998.8182
35,1.2776896,1.2776896,0.00044554367,2822.114
36,0.87956446,0.87956446,0.00043993667,7458.9414
37,0.8611737,0.8611737,0.00043409906,2938.6965
38,0.87578845,0.87578845,0.00042803888,2712.6733
39,0.8978032,0.8978032,0.0004217647,7213.626
40,0.94620514,0.94620514,0.00020764262,5881.6733
41,1.1434656,1.1434656,0.00020430477,2506.5906
42,0.89479184,0.89479184,0.00020087352,2292.0227
43,1.360776,1.360776,0.00019735361,8151.042
44,1.2307515,1.2307515,0.00019375,2500.335
45,1.0406399,1.0406399,0.000095033865,5548.388
46,1.4205959,1.4205959,0.00009315597,14241.499
47,1.3956275,1.3956275,0.00009124393,3066.9644
48,1.5531162,1.5531162,0.00008930043,5078.4375
49,1.7238101,1.7238101,0.000087328204,7005.7793
50,1.8489233,1.8489233,0.00006826399,6620.6167
51,2.077198,2.077198,0.00006664686,4023.544
52,2.557618,2.557618,0.000065013446,15394.847
53,3.1503568,3.1503568,0.000063366024,7886.9053
54,3.4196062,3.4196062,0.0000617069,8137.7026
55,3.8424444,3.8424444,0.000060038405,21997.063
56,3.8531098,3.8531098,0.000058362853,7104.1074
57,4.5245957,4.5245957,0.00005668261,9369.168
58,4.8983874,4.8983874,0.000055,14702.247
59,5.168322,5.168322,0.000053317402,12653.378
60,5.1667895,5.1667895,0.000051637147,45194.477
61,6.061549,6.061549,0.000049961596,103088.72
62,6.6637187,6.6637187,0.000048293103,13112.833
63,7.008362,7.008362,0.00004663398,26870.115
64,7.2593083,7.2593083,0.00004498656,19772.117
65,6.895551,6.895551,0.00004335314,24468.834
66,6.8005147,6.8005147,0.000041736017,33160.848
67,6.4000006,6.4000006,0.00004013744,39819.8
68,6.4702415,6.4702415,0.000038559654,26652.26
69,6.3426623,6.3426623,0.000037004862,44236.69
70,6.5738587,6.5738587,0.00003547523,39582.547
71,6.3405843,6.3405843,0.000033972916,51866.508
72,6.4601274,6.4601274,0.000032499996,20541.348
73,6.2335687,6.2335687,0.000031058556,27731.037
74,5.7370973,5.7370973,0.000029650599,13626.35
75,5.8012624,5.8012624,0.000028278091,20038.035
76,5.705031,5.705031,0.000026942958,29330.973
77,5.944851,5.944851,0.000025647065,26704.266
78,5.9027863,5.9027863,0.000024392224,45595.332
79,5.490745,5.490745,0.000023180188,21823.586
80,5.267194,5.267194,0.000022012664,21973.217
81,5.566134,5.566134,0.000020891273,24156.393
82,5.525107,5.525107,0.000019817584,12234.808
83,4.8591247,4.8591247,0.000018793104,28444.824
84,5.1434975,5.1434975,0.000017819248,34924.824
85,4.9490843,4.9490843,0.00001689741,62456.168
86,4.9638734,4.9638734,0.000016028853,56307.53
87,5.0440426,5.0440426,0.000015214808,104791.58
88,5.018012,5.018012,0.000014456403,57969.68
89,5.2125416,5.2125416,0.000013754699,34850.46
90,5.164536,5.164536,0.000013110679,30139.354
91,4.7530656,4.7530656,0.000012525247,59534.734
92,4.416105,4.416105,0.000011999223,35195.87
93,4.2231226,4.2231226,0.000011533339,68943.02
94,4.469243,4.469243,0.000011128245,34810.87
95,4.3318367,4.3318367,0.000010784509,109558.734
96,4.348853,4.348853,0.000010502612,86696.7
97,4.1996183,4.1996183,0.000010282953,35649.418
98,4.4490123,4.4490123,0.000010125831,55692.973
99,3.8449416,3.8449416,0.000010031468,100433.95
