epoch,loss,sce,mse,lambda_ce,lr,grad_norm,val_loss,val_sce,val_mse
0,7.767776,7.767776,0,1,0.00003125,8.322915,7.7772775,7.7772775,0
1,7.7447577,7.7447577,0,1,0.0000625,8.178088,7.706028,7.706028,0
2,7.7152166,7.7152166,0,1,0.00009375,8.092518,7.6670976,7.6670976,0
3,7.677699,7.677699,0,1,0.000125,8.115002,7.665602,7.665602,0
4,7.6300073,7.6300073,0,1,0.00015625001,8.324663,7.6195455,7.6195455,0
5,7.5665812,7.5665812,0,1,0.0001875,8.86001,7.4722505,7.4722505,0
6,7.4741297,7.4741297,0,1,0.00021875,10.072962,7.3918023,7.3918023,0
7,7.330442,7.330442,0,1,0.00025,13.69415,7.232746,7.232746,0
8,7.0803337,7.0803337,0,1,0.00028125002,36.54205,6.842542,6.842542,0
9,6.775713,6.775713,0,1,0.00031250002,82.79572,6.667568,6.667568,0
10,7.1284266,7.1284266,0,1,0.00034375003,31.618307,6.908364,6.908364,0
11,6.9858575,6.9858575,0,1,0.000375,35.66736,6.552015,6.552015,0
12,6.5195704,6.5195704,0,1,0.00040625,67.05393,6.3221107,6.3221107,0
13,6.3004565,6.3004565,0,1,0.0004375,81.72722,6.359796,6.359796,0
14,6.150027,6.150027,0,1,0.00046875002,91.89899,6.2767982,6.2767982,0
15,5.920984,5.920984,0,1,0.0005,108.21408,5.990929,5.990929,0
16,5.655602,5.655602,0,1,0.0005,120.30528,6.1957717,6.1957717,0
17,5.439737,5.439737,0,1,0.0004998427,123.86449,6.64018,6.64018,0
18,5.279879,5.279879,0,1,0.00049937086,120.695885,5.757902,5.757902,0
19,5.111269,5.111269,0,1,0.0004985853,104.28652,5.4107285,5.4107285,0
20,4.883882,4.883882,0,1,0.00049748697,95.09337,4.8509297,4.8509297,0
21,4.6440296,4.6440296,0,1,0.00049607747,95.573044,4.261537,4.261537,0
22,4.3950605,4.3950605,0,1,0.0004943588,93.85384,4.6877427,4.6877427,0
23,4.117215,4.117215,0,1,0.0004923333,99.82944,5.408319,5.408319,0
24,3.834368,3.834368,0,1,0.0004900039,105.48865,4.445556,4.445556,0
25,3.514168,3.514168,0,1,0.0004873738,104.74354,4.51421,4.51421,0
26,3.1643782,3.1643782,0,1,0.00048444662,108.19916,2.6840029,2.6840029,0
27,2.815846,2.815846,0,1,0.00048122654,108.216805,2.3724375,2.3724375,0
28,2.5017705,2.5017705,0,1,0.00047771801,104.6389,4.599876,4.599876,0
29,2.23173,2.23173,0,1,0.000473926,109.80952,4.0642915,4.0642915,0
30,2.0122747,2.0122747,0,1,0.00046985576,111.988205,2.8605692,2.8605692,0
31,1.8422962,1.8422962,0,1,0.00046551297,115.84056,5.8350453,5.8350453,0
32,1.7333398,1.7333398,0,1,0.00046090374,113.33746,3.9541996,3.9541996,0
33,1.6753079,1.6753079,0,1,0.00045603453,111.65626,4.2016287,4.2016287,0
34,1.6403542,1.6403542,0,1,0.0004509121,112.46617,4.5552373,4.5552373,0
35,1.6150105,1.6150105,0,1,0.00044554367,119.41295,4.245192,4.245192,0
36,1.5910605,1.5910605,0,1,0.00043993667,132.38806,4.7314134,4.7314134,0
37,1.5670794,1.5670794,0,1,0.00043409906,146.48529,5.2160554,5.2160554,0
38,1.5377328,1.5377328,0,1,0.00042803888,151.53094,3.765715,3.765715,0
39,1.508569,1.508569,0,1,0.0004217647,150.43681,2.8272698,2.8272698,0
40,1.4991968,1.4991968,0,1,0.00041528523,143.23904,1.5964292,1.5964292,0
41,1.4419355,1.4419355,0,1,0.00040860954,132.98236,3.4390392,3.4390392,0
42,1.4146821,1.4146821,0,1,0.00040174703,130.41493,6.371986,6.371986,0
43,1.3855423,1.3855423,0,1,0.00039470723,131.71884,3.2138188,3.2138188,0
44,1.3564394,1.3564394,0,1,0.0003875,131.76044,3.9701602,3.9701602,0
45,1.340809,1.340809,0,1,0.00038013546,133.54375,5.42261,5.42261,0
46,1.3128884,1.3128884,0,1,0.00037262388,139.23935,3.0816252,3.0816252,0
47,1.2679586,1.2679586,0,1,0.0003649757,145.37042,3.4150283,3.4150283,0
48,1.2330616,1.2330616,0,1,0.00035720173,146.23907,2.1252701,2.1252701,0
49,1.213247,1.213247,0,1,0.00034931282,154.70326,2.0134192,2.0134192,0
50,1.165277,1.165277,0,1,0.00034131992,148.9257,5.3731647,5.3731647,0
51,1.1311017,1.1311017,0,1,0.0003332343,147.56639,3.2645826,3.2645826,0
52,1.1143342,1.1143342,0,1,0.00032506723,157.55734,4.6349397,4.6349397,0
53,1.0740911,1.0740911,0,1,0.00031683012,131.67891,4.120788,4.120788,0
54,1.0702516,1.0702516,0,1,0.0003085345,128.85347,3.124056,3.124056,0
55,1.0135674,1.0135674,0,1,0.000300192,126.88746,1.2297356,1.2297356,0
56,1.004582,1.004582,0,1,0.00029181427,125.00879,3.8709462,3.8709462,0
57,0.95669585,0.95669585,0,1,0.00028341304,125.65947,3.477174,3.477174,0
58,0.92905885,0.92905885,0,1,0.000275,124.66009,1.3574992,1.3574992,0
59,0.8899379,0.8899379,0,1,0.000266587,123.86287,1.569324,1.569324,0
60,0.86733896,0.86733896,0,1,0.00025818573,123.25979,5.6955433,5.6955433,0
61,0.85382277,0.85382277,0,1,0.00024980798,128.14638,3.959328,3.959328,0
62,0.832314,0.832314,0,1,0.0002414655,127.683266,4.299412,4.299412,0
63,0.7869473,0.7869473,0,1,0.00023316989,122.43146,3.04587,3.04587,0
64,0.7707681,0.7707681,0,1,0.0002249328,126.68688,3.815304,3.815304,0
65,0.7139791,0.7139791,0,1,0.0002167657,129.4918,3.6917813,3.6917813,0
66,0.71350527,0.71350527,0,1,0.00020868008,124.22672,2.9646804,2.9646804,0
67,0.6732835,0.6732835,0,1,0.00020068718,126.40575,3.7356722,3.7356722,0
68,0.67948425,0.67948425,0,1,0.00019279827,128.85132,6.286962,6.286962,0
69,0.6378894,0.6378894,0,1,0.0001850243,130.38063,4.665917,4.665917,0
70,0.63306856,0.63306856,0,1,0.00017737615,131.11053,4.1087894,4.1087894,0
71,0.59728104,0.59728104,0,1,0.00016986458,135.65396,4.4004254,4.4004254,0
