epoch,loss,sce,mse,lambda_ce,lr,grad_norm
0,9.105637,9.105637,0,1,0.00003125,146.15627
1,8.942311,8.942311,0,1,0.0000625,123.107574
2,8.775709,8.775709,0,1,0.00009375,133.48999
3,8.434326,8.434326,0,1,0.000125,138.1151
4,8.164261,8.164261,0,1,0.00015625001,152.85405
5,7.74684,7.74684,0,1,0.0001875,157.62491
6,7.1327987,7.1327987,0,1,0.00021875,162.85887
7,7.048957,7.048957,0,1,0.00025,160.60783
8,6.931893,6.931893,0,1,0.00028125002,159.80214
9,6.685541,6.685541,0,1,0.00031250002,156.89873
10,6.6303577,6.6303577,0,1,0.00034375003,166.73906
11,6.4847918,6.4847918,0,1,0.000375,167.127
12,6.3478317,6.3478317,0,1,0.00040625,152.33896
13,6.125525,6.125525,0,1,0.0004375,161.32356
14,5.9123588,5.9123588,0,1,0.00046875002,152.17401
15,5.674516,5.674516,0,1,0.0005,161.61736
16,5.5847187,5.5847187,0,1,0.0005,152.86023
17,5.3599763,5.3599763,0,1,0.0004998427,146.96399
18,5.2211266,5.2211266,0,1,0.00049937086,160.21764
19,4.9701786,4.9701786,0,1,0.0004985853,157.18007
20,4.803484,4.803484,0,1,0.00049748697,164.08195
21,4.6624484,4.6624484,0,1,0.00049607747,175.49333
22,4.440977,4.440977,0,1,0.0004943588,158.60689
23,4.2661605,4.2661605,0,1,0.0004923333,162.67548
24,4.0743217,4.0743217,0,1,0.0004900039,167.7388
25,3.9331107,3.9331107,0,1,0.0004873738,169.0224
26,3.8070772,3.8070772,0,1,0.00048444662,178.7803
27,3.684835,3.684835,0,1,0.00048122654,175.98642
28,3.6009493,3.6009493,0,1,0.00047771801,192.9667
29,3.4990559,3.4990559,0,1,0.000473926,172.20535
30,3.4199243,3.4199243,0,1,0.00046985576,169.84929
31,3.3347867,3.3347867,0,1,0.00046551297,177.55887
32,3.2901416,3.2901416,0,1,0.00046090374,165.50531
33,3.1860049,3.1860049,0,1,0.00045603453,177.00444
34,3.110768,3.110768,0,1,0.0004509121,207.65747
35,3.1025972,3.1025972,0,1,0.00044554367,179.19563
36,3.0517707,3.0517707,0,1,0.00043993667,216.51253
37,2.976997,2.976997,0,1,0.00043409906,399.9355
38,2.9331975,2.9331975,0,1,0.00042803888,1398.7415
39,2.9313257,2.9313257,0,1,0.0004217647,535.2083
40,2.943648,2.943648,0,1,0.00041528523,736.7479
41,2.8122354,2.8122354,0,1,0.00040860954,829.6003
42,2.76392,2.76392,0,1,0.00040174703,220.97342
43,2.7590451,2.7590451,0,1,0.00039470723,189.00879
44,2.6874223,2.6874223,0,1,0.0003875,211.77597
45,2.6745565,2.6745565,0,1,0.00038013546,351.16022
46,2.6423993,2.6423993,0,1,0.00037262388,185.29431
47,2.61854,2.61854,0,1,0.0003649757,3108.2434
48,2.6208596,2.6208596,0,1,0.00035720173,237.05858
49,2.4809804,2.4809804,0,1,0.00034931282,170.56026
